Virtual address: 1101111011010, Physical address: 100010011011010, Value: 26485850428582197175460137515896541472018452259764961832116412819388807003509627769587868523792180071410410867450027732984310605127862587691090438854187094324874829103711325988831755896236428186489718042441405494789988389760117280327953040954097392380113844934571018494323335942800139046067967781459138353020531886467577834970430330760547755467475983948269208758999588014358933984610183182912101111390213508445850393717686398383317465870982990844953970799866450661247421420051201162477117612710821066587020838641265987063196660825051449025179025254582086859307582614141923965305179296829149049252044336181284351
Virtual address: 1001001000101, Physical address: 100010101000101, Value: 17336193007799861537752030112619408582022830338184292710148046343184945560866592387376000734374737540722763095621993826685415403895137727081499419069269008639035596914950733517878320972706046108955410278108353416677580006946244043723296864470782163016480871949132686551879221875544142391670443732947216133879478373648724879215023832527721859989791069456049121289713605551075350855408849475897991135746536488563270025402763148531926084088365993893000487694777596364588060051710826553169227403106803933008561515872877236226616441259417423319735305780967432524664734024840429133026437283734583258803257247572953407
Virtual address: 11101010101010, Physical address: 100011010101010, Value: 56342627275345608203770803779221922481477850109133461072223713952264565395292164279963437099785939908391156228152033111433337051255701606522387450783919794983929165719666943525627175120388201281601669694475575433893636796836966789248410037899652351356179335729159259569667287109635496549891467308182252962849232823034361164277546272362400677552553073343934757342985425526126415774635587911063407347701159573325849490324278055793120922214259507214486389353314290997714811148319791992850233033523929607737782839253902963477300535197120375011363794063219379951300035905546801839056863760611416365453349572692680063
Virtual address: 11000011011100, Physical address: 100011111011100, Value: 46711408937679991743025427565245993123587721770627493575414907135207869139878442825003576268820210928719948047280418473223973681537043858512291640484006020577782605520971583029886717306145693831565556258335520614827943762296047592822456167917215267815513048376066278577620851249366026387367757783432861153227071230593463316113960484748899734944463689667913612638473865038459486164949973482627502110181499552396817523676990424370603678232557405159798512400589181211757588655329923983052453865519701046076246710024020067859847672496452979531949352512046059599044405811545228331395030062617136586033573689947068543
Virtual address: 101111001010110, Physical address: 100100001010110, Value: 90533452374058546639416889338836471701987805710829645685894978152815837102010875445070943049714277786223945270246265077076577013756936611958227577348613694125749454425035473285505800360949102729229872392772770041576847069457229936560546276337303997925544655832639342091432134413592115626850636121042593887007906476199548525258275818390329023811270385393809821044001465257344015889019519132010870940895952647623912971922149147343057138349301969508628352535488430737862950998433823427632349079938941001636236098019987242919258197784489628963285061569884667201807522739252387791256373388491109582393553956439600959
Virtual address: 1000111000001, Physical address: 100100111000001, Value: 16854632090916580714714761301920612114128323921258994335307606002332110748095906314628007692826451091739202686578413094774947235409204839680994628554273319918728268905015965493091298081993920736453604606301350675724295355219198083901999170971660308839447557581478037502276900082530668883544258256709746543398370294026679986806844543147046812859386600272248064054488027526692004374924568754476195873870553487516818427070398766960800221889280888790266093847141340875290198927061333152679338444706592504925484709411383091445743798124384053545764583703408766507051952520140350457643345598834869269832268453435672831
Virtual address: 100101011010001, Physical address: 100101011010001, Value: 71752576615610594540963405721583409454102055450743009067117804859555279403954118607899214429331106275865089317546616532568318442805554003338540747263781834033763662037579520318811907623176213201659451192299663144398745652102437503529936229871551685021245395494108029156941584486066648809929402547781279858244691370939797721339283532544002185725496087225568588870203922306393503150132570996560855727732615606812300636959938266069148512584982870501986992477674466655246367137103580808526679702330695306396240646021715596465225115518188207778426900545096692514909044055949319451315797677402264012524990985085658495
Virtual address: 1110001011001101, Physical address: 100101111001101, Value: 0
Virtual address: 1111000011100110, Physical address: 100110011100110, Value: 0
Virtual address: 101101111001110, Physical address: 100110111001110, Value: 88125647789642142524230545285342489362515273626203153811692776448551663038157445081330977841972845541306143225028361417524236171327272174955703624773635250524212814375361633161570685907388475866720844033737756336810423810822000137454057808841694727040378083994366096843420525448524748086219708739855245934602366078089324063217379371486953788159248039474804534867873575135427283486598115524901894631516037642391654980260327239487427827353876443994956383297307153291373645375186356425182904287937883861220852065712516519014894982109322780093431451182091337113743615215751994414340914963992539637538609985753198079
